Genes	N_G005	N_G006	N_G010	N_G012	N_G014	N_G016	N_G022	N_G036	N_G038	N_G039	N_G043	N_G044	N_G046	N_G055	N_G059	N_G061	N_G064	N_G066	N_G076	N_G079	N_G080	N_G084	N_G085	N_G091	N_G102	N_G116	N_G117
GJB5	-0.1842	-0.2263	-0.2226	-0.2274	-0.2304	-1.00E-04	0.0906	0.0978	0.0645	-0.2507	-0.1299	-0.3281	-0.2742	-0.188	-0.0607	-0.3577	-0.3934	-0.1654	0.0049	-0.029	-0.4582	0.0063	-0.432	0.0456	-0.1645	-0.1823	0.0057
GJB6	-4.372	-4.5198	-3.915	-4.9386	-3.3703	-4.8813	-4.0171	-3.6228	-4.9526	-3.0335	-3.456	-3.8437	-4.8379	-4.6134	-4.8859	-4.215	-4.4817	-3.5961	-4.4316	-3.4219	-4.9061	-3.8069	-4.9677	-3.5412	-4.2404	-4.1014	-4.9994
GJB7	-0.149133333	-0.369533333	-0.370233333	-0.457033333	-0.294233333	-0.423933333	-0.057433333	-0.184233333	-0.223633333	-0.425133333	-0.213233333	-0.489033333	-0.489233333	-0.667933333	-0.282633333	-0.496033333	-0.641633333	-0.215633333	-0.163933333	-0.278533333	-0.664733333	-0.154033333	-0.593733333	-0.212033333	-0.398333333	-0.442333333	-0.303033333
GJC1	-0.205066667	-0.303166667	-0.249066667	-0.066166667	0.044033333	-0.139866667	-0.249366667	-0.309066667	-0.422466667	-0.235066667	-0.023966667	-0.255066667	-0.230266667	0.009033333	-0.270966667	-0.031566667	-0.294966667	-0.253066667	-0.244266667	-0.377866667	-0.356466667	-0.364166667	-0.274866667	-0.161566667	-0.366066667	-0.270366667	-0.288166667
GJE1	-0.799766667	-0.746066667	-1.135166667	-0.920066667	-1.014666667	-1.278466667	-0.974466667	-0.612266667	-0.632666667	-1.281666667	-0.937066667	-1.120166667	-1.233966667	-1.221966667	-1.205866667	-0.442866667	-0.743566667	-0.684166667	-1.065866667	-1.186566667	-0.317166667	-1.099766667	-0.169466667	-1.025266667	-0.736966667	-1.345266667	-1.098866667
GK	2.867090909	2.543490909	2.661190909	3.074590909	3.217590909	3.189390909	3.113290909	2.751290909	3.039190909	3.556990909	2.893090909	3.291990909	3.788090909	3.748990909	3.450990909	3.168490909	3.277490909	2.742090909	2.581090909	3.343490909	3.221090909	2.988590909	3.086590909	3.508190909	2.750190909	3.539290909	3.076090909
GK2	0.06235	0.04715	0.07085	0.06545	0.05165	0.08155	0.07545	0.08315	0.05265	0.05375	0.10325	-0.12975	0.05065	0.04195	0.05875	0.06035	0.03435	0.07865	0.05845	0.05675	0.12555	0.05625	0.06245	0.06805	0.05045	0.05015	0.03775
GK5	0.43874375	0.39384375	0.49474375	0.48374375	0.27884375	0.49144375	0.49714375	0.50704375	0.25974375	0.23974375	0.48614375	0.29804375	0.46464375	0.43594375	0.47774375	0.23884375	0.45934375	0.51674375	0.49104375	0.66794375	0.62604375	0.49084375	0.48074375	0.55774375	0.17114375	0.39114375	0.30764375
GKAP1	-0.7722	-1.1792	-1.1308	-1.1434	-1.1703	-1.0796	-0.8307	-0.5541	-0.6999	-0.8764	-1.0159	-0.9198	-1.0093	-1.2476	-0.9762	-0.7479	-0.7286	-0.6959	-0.8756	-0.9383	-0.6833	-0.8586	-0.4152	-0.7935	-1.0165	-1.2261	-0.8931
GKN1	1.768	1.1893	1.522	1.993	1.3625	1.6907	1.693	1.0866	1.5537	1.0973	1.963	1.3091	1.6137	2.0805	1.458	1.2802	1.1169	0.9702	1.0016	1.6509	1.1369	1.6826	1.4435	0.8986	1.2326	2.052	1.2825
GLA	1.3174	1.3551	1.3454	1.7384	1.3591	1.4134	1.3285	1.298	1.5431	1.3233	1.2387	1.2125	1.5718	1.4799	1.6326	1.2381	1.2154	1.2297	1.3081	1.61	1.4658	1.2761	1.2801	1.2071	1.4013	1.535	1.3819
GLB1	0.07525	0.42635	0.35065	0.41835	0.43755	0.56815	0.47795	0.38965	0.38205	0.62265	0.38895	0.40445	0.52935	0.36805	0.53565	0.49905	0.48285	0.52285	0.43185	0.46055	0.47725	0.47055	0.28805	0.26555	0.37875	0.48535	0.20505
GLB1L	-0.2467875	-0.3383875	-0.2777875	-0.2793875	-0.1161875	-0.1737875	-0.3133875	-0.1745875	0.1513125	-0.3142875	0.0068125	0.2560125	-0.0493875	-0.3936875	0.0804125	-0.1676875	-0.2770875	-0.1126875	0.0814125	-0.0508875	-0.2252875	-0.3279875	-0.4747875	-0.1203875	-0.1279875	0.0093125	-0.1203875
GLB1L3	-0.041	-0.1315	-0.0854	-0.1733	-0.0916	-0.08	0.0804	0.566	-0.1416	-0.1688	0.0209	-0.0246	-0.2082	-0.2065	-0.0273	0.3019	0.6208	-0.0857	-0.0901	-0.1411	0.6035	0.0372	0.3256	0.0035	-0.2586	-0.0876	-0.1163
GLCCI1	0.2992	0.2671	-0.0096	0.2744	-0.1952	0.1684	0.0476	1.0952	0.2979	-0.1258	0.2131	-0.4887	-0.4012	-0.3849	-0.2762	0.5978	0.7659	-0.0524	0.2786	0.1132	0.5343	0.1129	0.0789	0.3311	0.1184	-0.8034	0.6122
GLCE	-0.7918	-0.8876	-0.7068	-0.4649	-0.6559	-0.1056	-0.3596	-0.4498	-0.7418	-0.5473	-0.3453	-0.5185	-0.7632	-0.2925	-0.79	-0.7412	-0.8999	-0.7941	-0.8552	-0.5359	-0.7925	-0.7998	-0.5547	-0.9411	-0.6346	-0.6663	-0.6964
GLDC	0.5472	0.589	-0.3629	0.4917	0.5428	-1.266	0.8716	0.9257	0.9063	1.2985	0.4455	1.9612	0.066	-0.2338	0.4626	0.5475	0.6004	1.0448	1.0809	0.7656	0.9817	0.7445	0.483	0.9978	0.2834	0.5028	0.5857
GLDN	-3.9473	-4.3826	-4.1712	-4.2351	-4.0699	-3.7723	-4.051	-3.5421	-4.1864	-4.1344	-4.0239	-4.1253	-3.464	-3.4052	-4.0636	-4.581	-4.4266	-3.4807	-4.108	-4.0525	-4.3753	-4.0758	-4.3169	-4.2171	-4.2515	-3.708	-3.6041
GLE1L	1.6498	1.7488	1.7977	1.5837	1.7795	1.5222	1.6896	1.5797	1.6005	1.7567	1.8769	1.4065	1.532	1.6301	1.4409	1.7737	1.6278	1.8291	1.4269	1.4462	1.4904	1.5214	1.6243	1.6708	1.669	1.7761	1.4801
GLG1	0.111625	0.326125	0.514625	0.366925	0.400025	0.303925	0.427625	0.306725	0.445625	0.650225	0.343625	0.624525	0.693025	0.215925	0.466225	-0.174275	-0.364475	0.621825	0.579525	0.171125	0.121825	0.346925	0.234825	0.382025	0.208025	0.412625	0.262525
GLI1	-0.2696	1.0799	1.5342	0.7292	0.6492	1.6706	1.2128	-0.2571	1.347	1.006	1.128	0.4226	0.8611	0.1471	-0.1047	-0.214	-0.1398	1.0809	1.8174	0.5303	-0.0703	0.604	0.2038	0.6037	0.6651	1.4024	0.8087
GLI2	0.577872727	1.275772727	1.614072727	1.114072727	1.281372727	1.663872727	1.453972727	0.443172727	1.344972727	1.608972727	1.738972727	0.729472727	1.107972727	0.730872727	0.481972727	0.841772727	0.872672727	0.887572727	1.282472727	1.102572727	0.590272727	1.346072727	1.162272727	1.197272727	1.175872727	1.029172727	1.118372727
GLI3	0.707590909	0.861890909	0.962990909	0.634990909	1.028090909	1.116790909	0.768590909	0.228090909	0.950190909	0.953690909	0.897390909	0.419490909	0.781690909	0.825690909	0.861490909	0.450990909	0.569690909	0.268690909	0.495490909	-0.200709091	-0.301509091	0.618590909	1.211890909	0.674290909	0.656790909	0.327490909	0.513790909
GLI4	-0.3362125	-0.3222125	-0.3374125	-0.3605125	-0.5399125	-0.3287125	-0.4106125	-1.2016125	-0.5803125	-0.5653125	-0.5014125	-0.2746125	-0.0788125	-0.2582125	-0.6182125	-0.4126125	-0.4758125	-0.2387125	-0.4858125	-0.5036125	-0.2064125	-0.3903125	-0.3715125	-0.3544125	-0.1706125	-0.3457125	-0.3528125
GLIPR1L1	-0.0347	-0.0956	-0.0265	-0.0295	0.1603	-0.0111	-0.0229	-0.0151	-0.0448	0.0613	0.0045	0.2533	-0.0426	-0.0419	-0.0368	-0.0362	-0.064	-0.0269	-0.0433	-0.0371	0.1949	-0.046	-0.033	0.1357	-0.0472	-0.0471	-0.1247
GLIPR1L2	-0.573990909	-0.915990909	-2.090490909	-2.126790909	-1.463790909	-1.713990909	-1.711290909	-1.364790909	-1.349690909	-1.266190909	-1.997790909	-0.868290909	-0.735590909	-1.636490909	-1.833990909	-2.107190909	-1.675190909	-1.848290909	-1.888490909	-1.963790909	-0.820190909	-0.809890909	-0.834190909	-1.291990909	-0.718890909	-0.871890909	-1.357890909
GLIS1	0.375875	-0.837825	-1.136525	0.040875	-0.883525	-0.551325	-0.640325	-0.875425	-1.014225	-1.022525	-1.089525	-0.981825	-0.003525	-0.630725	0.453475	-0.655225	-0.719825	-0.761025	-0.774925	-1.213625	-0.686125	-0.807825	-0.676525	-1.341525	-0.765125	-0.901425	-1.140925
GLIS2	-0.7464	-0.2887	-0.8242	-0.6218	-0.6122	-0.6301	-0.7877	-1.0065	-0.4306	-0.6522	-0.6674	-0.7245	-0.6321	-0.4451	-0.7212	-0.4022	-0.6301	-0.7267	-0.8959	-0.9316	-0.7179	-0.8103	-0.619	-0.6285	-0.6588	-0.6998	-0.7468
GLIS3	-0.5657	-0.8262	-0.5143	-0.5256	-1.2576	-0.9581	-0.859	-0.6376	-0.2324	-0.4337	-0.7733	-0.1438	-0.298	0.0725	-0.0485	-1.0713	-0.9656	-0.8917	-0.3331	-0.1777	-0.5026	-0.678	-0.6179	-1.0657	-0.8086	-0.1839	-1.0173
GLMN	0.2430375	0.4518375	0.1887375	0.4853375	0.2961375	0.1930375	0.3584375	0.3846375	0.3954375	0.2569375	0.2669375	0.0778375	-0.0106625	0.5619375	0.3776375	-0.3106625	-0.2385625	0.4217375	0.3681375	0.6769375	0.4099375	0.7115375	0.3744375	0.3639375	0.0787375	0.2742375	0.4648375
GLO1	0.7539	0.7598	0.734	0.7991	0.7702	0.51	0.8476	0.706	0.9051	0.6806	0.7183	0.8251	0.6775	0.9346	0.8603	0.642	0.7216	0.75	0.6782	0.8603	0.4666	0.7855	0.7254	0.6099	0.6895	0.8177	0.6766
GLP1R	-0.757633333	-0.777033333	-0.749333333	-0.751933333	-0.765933333	-0.733133333	-0.746033333	-0.738233333	-0.767733333	-0.764633333	-0.718833333	-0.775233333	-0.764633333	-0.762233333	-0.759433333	-0.759033333	-0.463033333	-0.751533333	-0.767133333	-0.759333333	-0.794133333	-0.769833333	0.094866667	-0.776133333	-0.770233333	-0.770033333	-0.780433333
GLP2R	-0.244075	-0.258075	-0.235475	-0.241575	-0.255275	-0.226375	-0.230675	-0.223075	-0.253575	-0.252975	-0.202775	-0.265975	-0.256775	-0.268475	-0.248075	-0.246175	-0.271675	-0.225175	-0.246575	-0.250775	-0.356575	-0.248575	-0.244475	-0.268275	-0.255875	-0.256075	-0.269375
GLRA1	-0.025933333	-0.365933333	-0.334833333	-0.335433333	-0.139633333	-0.314933333	-0.333033333	-0.324833333	-0.353533333	0.030466667	-0.105933333	-0.227833333	-0.346833333	-0.335333333	-0.343533333	0.215266667	-0.269233333	-0.349433333	-0.357033333	-0.341533333	-0.285133333	-0.360233333	-0.339933333	-0.213533333	-0.356733333	-0.356133333	-0.359033333
GLRA2	-1.4151	-0.4603	-1.3625	-0.6798	-1.2289	-2.0473	-1.3973	-0.8098	-2.1186	-1.505	-1.4596	-1.9354	-2.0354	-1.8712	-2.0643	-1.4626	-2.1499	-0.5819	-2.2146	-0.7935	-1.4681	-1.6913	-2.1206	-1.6088	-2.1963	-2.1255	-1.5993
GLRA3	1.3793125	-0.5595875	0.2709125	0.2910125	0.0396125	0.5868125	0.3231125	0.6597125	0.2476125	0.4019125	0.6959125	-0.3522875	-0.3857875	0.6426125	0.3448125	0.5246125	-0.6674875	0.1441125	0.1011125	0.7396125	-0.4594875	-0.0503875	0.3165125	0.1755125	-0.0882875	0.6196125	0.1293125
GLRB	-2.8957875	-3.0391875	-3.7138875	-3.5464875	-3.0198875	-4.1079875	-3.2262875	-2.8399875	-4.7020875	-3.3505875	-3.3587875	-3.5642875	-3.2572875	-2.8560875	-3.6937875	-2.9822875	-2.9463875	-3.0119875	-3.1455875	-3.1390875	-3.0922875	-3.0132875	-3.2094875	-2.9808875	-3.0676875	-3.5404875	-3.3417875
GLRX	-1.511890909	-0.778690909	-0.626590909	-0.628290909	-1.401290909	-0.588090909	-0.940190909	-0.851190909	-0.259290909	-0.553290909	-1.381690909	-0.456290909	-0.438990909	-0.162090909	-0.422590909	-0.753690909	-0.711990909	-0.589290909	-0.899290909	-1.262390909	-0.634690909	-1.051090909	-0.919890909	-1.085090909	-0.845890909	-0.405890909	-1.058890909
GLRX2	-0.6035	-0.3574	-0.911	-0.2927	-0.6136	-0.7279	-0.502	-0.3781	-0.3875	-0.288	-0.8323	-0.5877	-0.3719	-0.1494	-0.3723	-0.5096	-0.4336	-0.8347	-0.364	-0.115	-0.0849	-0.4035	-0.4818	-0.4461	-0.2721	-0.2234	-0.6628
GLRX5	-0.0727	0.009	0.0466	0.0149	-0.0095	-0.0265	0.1062	0.1202	0.2068	0.1594	-0.155	-0.1446	-0.0513	-0.0795	-0.0317	0.0876	0.1225	-0.0385	-0.0797	-0.0892	-0.0998	-0.0688	0.0457	0.0376	-0.3425	0.2524	0.1055
GLS	-2.2765875	-2.1969875	-1.9218875	-1.7307875	-2.5562875	-1.9434875	-1.9044875	-1.5222875	-2.3316875	-1.4855875	-2.2407875	-1.4697875	-1.6455875	-2.0364875	-1.6195875	-1.8904875	-1.7256875	-2.0117875	-2.1770875	-2.0653875	-2.1796875	-1.9379875	-2.1714875	-2.1117875	-1.9133875	-2.0257875	-2.2165875
GLS2	-3.45395	-3.15045	-3.43995	-3.47435	-3.14135	-3.17405	-3.25665	-3.42155	-3.31525	-3.08295	-3.33675	-2.61295	-3.46545	-3.12205	-3.45635	-2.93165	-2.68955	-2.91635	-3.31765	-2.96015	-2.85315	-3.34605	-3.67535	-2.78805	-2.93165	-3.17185	-2.93545
GLT1D1	-3.9275625	-4.3504625	-4.3355625	-4.4154625	-4.3180625	-3.5920625	-4.2772625	-2.7613625	-4.1563625	-4.1701625	-4.1158625	-4.8123625	-4.4286625	-4.1005625	-4.2814625	-2.8903625	-2.7528625	-4.0530625	-4.3349625	-4.5138625	-4.2735625	-3.7701625	-4.2519625	-4.2807625	-4.2361625	-4.2315625	-4.0547625
GLT25D1	1.9859875	2.1503875	2.3236875	2.3899875	2.0737875	2.2942875	2.2282875	1.4071875	2.1380875	2.4285875	2.1418875	2.1154875	2.6136875	2.2219875	2.3745875	2.0479875	1.8679875	2.1152875	2.0721875	1.9948875	1.9078875	2.3443875	1.8139875	2.0902875	2.0407875	2.0958875	1.9161875
GLT25D2	-2.270615789	-1.965815789	-2.206015789	-1.568815789	-1.602515789	-2.859415789	-1.634715789	-2.286715789	-2.293615789	-1.535215789	-2.533115789	-1.332315789	-2.321515789	-2.147315789	-2.474315789	-2.762915789	-2.877115789	-1.766815789	-1.784515789	-1.558815789	-2.331115789	-1.773515789	-2.478615789	-1.921015789	-2.302115789	-1.699615789	-2.117015789
GLT8D1	-0.0785	0.379	0.0697	0.1066	0.1964	0.3703	0.1877	0.1242	0.3626	-0.2247	0.1187	0.381	0.4601	0.2548	0.2683	0.239	0.2879	0.2334	0.1279	-0.0675	0.1211	0.2636	0.1722	0.1274	0.1927	0.2431	0.2995
GLT8D2	-1.543663636	-1.600063636	-0.249963636	-0.815963636	-1.713163636	0.640736364	-0.784563636	-1.788963636	-1.776363636	-0.105863636	-0.476663636	-1.831563636	0.372336364	-1.923363636	-0.444763636	-2.119363636	-2.157063636	-1.243463636	-1.301163636	-0.147363636	-1.836663636	-1.764863636	-1.829463636	-0.961463636	-1.111163636	0.290336364	-1.583263636
GLT8D3	0.9233	1.6341	1.8494	1.8334	1.8479	1.7564	1.7803	2.0499	1.5995	1.9395	1.3191	1.5848	1.7138	1.6645	2.0454	1.6415	1.6652	1.1362	1.4981	1.8875	1.5867	1.4465	1.1778	1.3237	1.3715	1.8549	1.3761
GLTP	0.6468	0.2824	0.3261	0.348	0.3994	0.5107	0.3489	0.4039	0.4113	0.2356	0.1309	0.3624	0.3027	0.4612	0.3849	0.2685	0.2416	0.1269	0.2348	0.3123	0.5359	0.3521	0.3411	0.2445	0.1383	0.2792	0.328
GLTSCR1	-0.125423077	-0.325523077	-0.329523077	-0.235323077	-0.081423077	-0.241023077	-0.344023077	-0.270623077	-0.388823077	-0.178623077	-0.011123077	-0.331323077	-0.460523077	-0.512523077	-0.497923077	0.200776923	-0.612823077	-0.257823077	-0.382323077	-0.520823077	-0.486323077	-0.523023077	-0.220623077	-0.148723077	-0.432823077	-0.609523077	-0.384923077
GLTSCR2	1.65285	1.27745	1.05395	1.23275	1.16645	1.38905	1.23795	1.15675	1.36135	1.10705	1.44885	1.17365	1.06355	1.20695	1.08585	0.92235	1.05945	1.64775	1.48015	1.09135	1.12135	1.57905	1.39195	1.40355	1.08075	0.98045	1.42555
GLUD1	-1.5076125	-1.3854125	-1.3042125	-1.2053125	-1.6881125	-1.7741125	-1.4362125	-1.6399125	-1.4206125	-1.5948125	-1.3952125	-1.3399125	-1.4939125	-1.3973125	-1.1075125	-1.4441125	-1.4740125	-0.8122125	-1.3241125	-1.4697125	-1.2973125	-1.2319125	-1.5009125	-1.5945125	-1.3642125	-1.2839125	-1.4309125
GLUD2	-0.788433333	-0.785533333	-0.765333333	-0.784833333	-0.467433333	-0.900333333	-0.782033333	-0.710233333	-1.115533333	-0.629933333	-0.308233333	-0.785633333	-0.947533333	-0.869933333	-0.781133333	-0.899933333	-1.009633333	-0.421133333	-1.066133333	-1.165533333	-0.896433333	-0.828433333	-1.006933333	-0.552733333	-0.792933333	-0.899933333	-0.935933333
GLUL	-2.353092308	-1.697992308	-2.204492308	-2.113992308	-2.248392308	-2.318492308	-1.960392308	-2.360192308	-2.191892308	-2.220792308	-2.185792308	-2.198292308	-2.109092308	-2.928192308	-2.585392308	-2.513092308	-2.559292308	-1.471392308	-1.949292308	-1.859492308	-1.850092308	-1.617292308	-2.031592308	-2.073392308	-1.610092308	-2.692692308	-2.155192308
GLULD1	1.336	1.0042	1.8076	1.9102	1.5792	1.7553	1.7375	1.7323	1.4074	1.8897	2.0142	1.4065	1.4329	1.7899	2.0259	1.3798	1.048	1.5295	0.8648	1.6217	0.9688	1.5077	1.6519	1.2539	1.3986	1.8262	1.3373
GLYAT	-0.2381875	-0.2544875	-0.2298875	-0.2346875	-0.1865875	-0.2178875	-0.2254875	-0.2176875	-0.2479875	-0.2466875	-0.1977875	-0.6315875	-0.2489875	-0.2551875	-0.2414875	-0.2401875	0.0700125	-0.2350875	-0.2433875	-0.2429875	-0.4096875	-0.2456875	-0.2376875	-0.1684875	0.1402125	-0.2504875	-0.1982875
GLYATL1	0.3989	0.3723	0.4586	0.9009	0.3595	0.6359	0.6402	0.97	0.5122	0.5082	1.0694	0.2311	0.2229	0.5277	0.4123	1.5542	1.333	0.8822	0.5164	1.0069	1.0179	0.5938	1.312	0.6353	0.5254	1.7107	0.7647
GLYATL2	-0.166633333	-0.150533333	0.039966667	0.558966667	0.197166667	0.190766667	0.049266667	0.376066667	-0.002633333	0.639666667	0.479166667	0.390166667	-0.206033333	-0.186133333	-0.177333333	1.097366667	1.211266667	-0.189333333	-0.040733333	0.848266667	0.633566667	0.104766667	0.351566667	0.513366667	-0.218833333	1.337366667	0.239666667
GLYCTK	0.4653	0.3767	0.7782	0.4838	0.546	0.7319	0.5577	0.5033	0.2465	0.4362	0.673	0.3913	0.3964	0.5426	0.5394	0.7385	0.5857	0.3979	0.3041	0.7464	0.2575	0.3517	0.3318	0.1173	0.248	0.5227	0.4295
GM2A	0.140172727	-0.019027273	0.138872727	0.110472727	0.006672727	0.204572727	0.002772727	0.063372727	0.084072727	-0.153027273	0.323172727	0.272072727	0.150172727	0.154472727	0.501272727	-0.000927273	-0.002327273	0.283472727	-0.013627273	0.401972727	-0.130427273	0.127672727	0.152072727	-0.009827273	0.232872727	0.235672727	-0.108127273
GMCL1	1.3096125	1.3867125	1.2785125	1.3355125	1.5675125	1.2686125	1.4289125	1.4699125	1.2180125	1.5335125	1.7995125	1.1043125	1.1263125	1.3019125	1.4824125	1.3428125	1.4323125	1.4277125	0.9094125	1.1692125	1.4501125	1.5098125	1.3843125	1.2146125	1.4265125	1.4726125	1.3877125
GMCL1L	1.044025	0.821825	2.194925	2.108025	0.897425	1.772725	1.272025	1.299525	1.211625	1.323525	1.845625	0.814025	1.395225	2.057525	1.818525	1.395825	0.386325	1.289425	1.092225	1.513525	0.786325	1.510825	1.716825	0.908225	1.476425	1.830925	0.687225
GMDS	1.0634	1.0978	1.2428	1.2938	1.0746	0.9473	0.9863	1.1439	1.1847	0.9675	0.7427	0.8412	1.0089	1.3928	1.5846	1.2362	1.2224	1.0339	1.1502	0.8673	0.991	0.863	1.0874	0.8008	0.9197	1.0814	0.8078
GMEB1	0.122333333	0.117533333	0.158533333	0.216333333	0.156733333	0.384433333	0.133633333	0.251833333	0.286833333	0.034333333	0.390933333	0.263433333	0.084233333	0.317833333	0.247733333	0.150133333	0.305733333	-0.033766667	0.000733333	0.194133333	0.319333333	0.220033333	0.205733333	0.098233333	0.041833333	-0.036366667	0.284333333
GMEB2	0.658675	0.495075	0.779675	0.713075	0.592375	0.758075	0.725975	0.134275	0.634775	0.544975	0.541575	0.502475	0.529675	0.914075	0.647875	0.589775	0.572775	0.587875	0.512875	0.521375	0.694175	0.774475	0.625675	0.650375	0.562875	0.578875	0.752575
GMFB	-0.09425	-0.31215	-0.36125	-0.26325	-0.24225	-0.48615	-0.42995	-0.10305	-0.32575	-0.21615	-0.43975	-0.52785	-0.38585	-0.21795	-0.27925	-0.32625	-0.49165	-0.63945	-0.30855	0.13265	-0.53565	-0.29855	-0.36935	-0.21825	-0.71965	-0.24525	-0.16985
GMFG	-0.7255	-0.6541	-0.8319	-0.7792	-0.881	-1.1486	-0.7079	-0.9187	-0.6908	-0.824	-0.7448	-0.6872	-0.9903	-0.8343	-0.8204	-0.6785	-0.7688	-0.4501	-0.7615	-0.7648	-0.7672	-0.6347	-0.6818	-0.8914	-0.7024	-0.5099	-0.9065
GMIP	0.1527	0.0372	-0.0315	-0.0486	-0.3088	-0.4427	-0.271	-0.3842	-0.219	-0.2272	-0.1767	-0.3306	-0.3201	-0.0325	0.0168	-0.0939	-0.2256	-0.5462	-0.1968	-0.1947	-0.2737	-0.3175	0.1348	-0.2697	-0.2544	-0.0513	-0.1986
GML	-0.366866667	-0.453666667	-0.501266667	-0.366266667	-0.071566667	-0.499466667	-0.356066667	0.176233333	-0.377166667	-0.082866667	-0.594666667	0.270133333	-0.454766667	-0.534466667	-0.493366667	-0.098066667	-0.305766667	-0.245566667	0.033433333	-0.503466667	-0.394766667	-0.559066667	-0.754766667	-0.057566667	-0.201166667	-0.319066667	-0.224066667
GMNN	1.63495	1.88435	1.75575	1.66395	1.76525	1.47175	1.79555	1.74325	1.93295	1.60815	1.90145	1.10095	1.42125	1.66765	1.64595	1.86365	1.98035	1.49175	1.66855	1.76265	1.57895	1.88695	1.80325	1.57825	1.60775	1.67395	1.86335
GMPPA	1.2719	1.4957	1.4132	1.7614	1.5895	1.5037	1.4111	1.1324	1.2808	1.5301	1.4987	1.5227	1.6259	1.5048	1.7675	1.2403	1.0767	1.3629	1.447	1.2962	1.1286	1.2916	1.0327	1.4344	1.3788	1.7117	1.402
GMPPB	1.6427	1.6415	1.9781	1.8147	1.8088	1.9822	1.9776	1.739	1.8848	1.6839	1.5672	1.5328	1.916	2.0001	2.0666	1.7906	1.7401	1.6031	1.5583	1.9026	1.9788	1.6643	1.7422	1.7055	1.5671	1.8201	1.6359
GMPR	-0.14185	0.63795	0.14905	0.46735	-0.14885	-0.04015	0.58185	0.10035	0.26515	0.77455	-0.13025	0.12695	0.03495	-0.27965	0.47835	0.67505	0.63045	0.82025	0.35095	-0.75635	-0.15675	0.03795	-0.14525	-0.11485	0.22335	0.05805	0.11725
GMPR2	0.463715385	0.567115385	0.542215385	0.651215385	0.289615385	0.478215385	0.440115385	0.758815385	0.646815385	0.512115385	0.540315385	0.527315385	0.542515385	0.367615385	0.506415385	0.614515385	0.683315385	0.684215385	0.635815385	0.407715385	0.211315385	0.490915385	0.562915385	0.582115385	0.399415385	0.309815385	0.514615385
GMPS	1.9193	2.1881	2.3629	2.439	2.1949	2.1573	2.2043	2.0887	2.2697	2.0647	2.1971	1.9042	2.366	2.4707	2.1374	2.3444	2.3893	2.0046	2.1382	2.5851	2.251	2.1483	2.3148	2.0393	2.2351	2.1348	2.1276
GNA11	-0.351345455	-0.180845455	-0.207145455	-0.179045455	-0.109745455	-0.356745455	-0.201045455	-0.823245455	-0.257245455	-0.099345455	-0.201745455	-0.268545455	-0.040845455	-0.099245455	-0.112445455	-0.288945455	-0.268545455	-0.299345455	-0.352045455	-0.593945455	-0.305145455	-0.149045455	-0.373245455	-0.073345455	-0.098845455	-0.227845455	-0.259745455
GNA12	0.22894375	0.32264375	0.33984375	0.30094375	0.24904375	-0.18565625	0.24924375	-0.75685625	0.21354375	0.12554375	-0.10065625	0.10154375	0.71864375	0.66554375	0.26534375	0.03784375	0.15614375	0.29784375	0.08984375	0.07464375	0.17994375	0.20014375	-0.02685625	0.16934375	0.32314375	0.41284375	0.01704375
GNA13	1.308881818	1.406381818	1.384681818	1.541681818	1.265681818	1.053181818	1.360981818	1.597081818	1.416481818	1.735981818	0.985781818	1.045681818	1.510881818	1.674581818	1.567981818	1.437781818	1.538781818	1.527581818	1.215381818	1.822981818	1.615581818	1.399181818	1.470581818	1.301081818	1.292281818	1.593581818	1.632581818
GNA14	-1.83145	-1.27845	-1.84835	-1.88005	-1.89965	-1.86755	-1.72465	-1.86165	-1.88855	-1.94355	-1.78525	-1.54385	-2.03135	-2.02515	-1.40445	-0.69205	-0.16815	-1.12305	-1.63475	-1.85895	-1.54485	-1.85125	-2.00525	-1.51185	-1.91615	-1.74905	-1.79365
GNA15	-0.256375	-0.125875	-0.235875	-0.047975	-0.253275	-0.638775	-0.376475	-0.402775	-0.337975	-0.330975	-0.289475	-0.191375	-0.260075	-0.073275	-0.440575	0.011825	-0.153375	0.083925	-0.138175	-0.387375	-0.251575	-0.248175	-0.242075	-0.049075	-0.203675	0.027725	-0.312575
GNAI1	-1.9045	-2.3844	-3.2647	-2.6047	-3.1286	-1.8343	-2.7058	-2.2102	-3.4019	-2.5351	-2.9498	-2.6979	-3.5268	-2.4601	-2.1978	-2.2441	-2.2015	-3.1785	-3.1628	-3.3726	-2.254	-3.1155	-1.7991	-3.5221	-2.0621	-3.4056	-2.7386
GNAI2	0.5426875	0.8129875	1.0808875	0.9172875	0.8824875	0.6963875	0.8405875	0.5819875	0.7473875	0.7720875	0.9108875	0.8927875	0.9817875	1.0452875	0.7374875	0.8917875	0.7183875	0.5736875	0.6669875	0.6259875	0.7747875	0.6033875	0.6810875	0.8444875	0.5482875	0.7707875	0.5975875
GNAI3	1.4259625	1.5405625	1.2513625	1.7036625	1.5639625	1.5227625	1.6486625	1.6675625	1.5491625	1.3723625	1.5800625	1.2898625	1.4105625	1.9072625	1.7498625	1.3887625	1.4414625	1.4534625	1.4793625	1.6824625	1.4161625	1.7471625	1.5620625	1.5182625	1.4397625	1.7000625	1.4851625
